grid_cell_id,row,col,latitude,longitude,in_sindh
sindh_era5_r000_c000,0,0,31.0,65.0,False
sindh_era5_r000_c001,0,1,31.0,65.25,False
sindh_era5_r000_c002,0,2,31.0,65.5,False
sindh_era5_r000_c003,0,3,31.0,65.75,False
sindh_era5_r000_c004,0,4,31.0,66.0,False
sindh_era5_r000_c005,0,5,31.0,66.25,False
sindh_era5_r000_c006,0,6,31.0,66.5,False
sindh_era5_r000_c007,0,7,31.0,66.75,False
sindh_era5_r000_c008,0,8,31.0,67.0,False
sindh_era5_r000_c009,0,9,31.0,67.25,False
sindh_era5_r000_c010,0,10,31.0,67.5,False
sindh_era5_r000_c011,0,11,31.0,67.75,False
sindh_era5_r000_c012,0,12,31.0,68.0,False
sindh_era5_r000_c013,0,13,31.0,68.25,False
sindh_era5_r000_c014,0,14,31.0,68.5,False
sindh_era5_r000_c015,0,15,31.0,68.75,False
sindh_era5_r000_c016,0,16,31.0,69.0,False
sindh_era5_r000_c017,0,17,31.0,69.25,False
sindh_era5_r000_c018,0,18,31.0,69.5,False
sindh_era5_r000_c019,0,19,31.0,69.75,False
sindh_era5_r000_c020,0,20,31.0,70.0,False
sindh_era5_r000_c021,0,21,31.0,70.25,False
sindh_era5_r000_c022,0,22,31.0,70.5,False
sindh_era5_r000_c023,0,23,31.0,70.75,False
sindh_era5_r000_c024,0,24,31.0,71.0,False
sindh_era5_r000_c025,0,25,31.0,71.25,False
sindh_era5_r000_c026,0,26,31.0,71.5,False
sindh_era5_r000_c027,0,27,31.0,71.75,False
sindh_era5_r000_c028,0,28,31.0,72.0,False
sindh_era5_r000_c029,0,29,31.0,72.25,False
sindh_era5_r000_c030,0,30,31.0,72.5,False
sindh_era5_r000_c031,0,31,31.0,72.75,False
sindh_era5_r000_c032,0,32,31.0,73.0,False
sindh_era5_r001_c000,1,0,30.75,65.0,False
sindh_era5_r001_c001,1,1,30.75,65.25,False
sindh_era5_r001_c002,1,2,30.75,65.5,False
sindh_era5_r001_c003,1,3,30.75,65.75,False
sindh_era5_r001_c004,1,4,30.75,66.0,False
sindh_era5_r001_c005,1,5,30.75,66.25,False
sindh_era5_r001_c006,1,6,30.75,66.5,False
sindh_era5_r001_c007,1,7,30.75,66.75,False
sindh_era5_r001_c008,1,8,30.75,67.0,False
sindh_era5_r001_c009,1,9,30.75,67.25,False
sindh_era5_r001_c010,1,10,30.75,67.5,False
sindh_era5_r001_c011,1,11,30.75,67.75,False
sindh_era5_r001_c012,1,12,30.75,68.0,False
sindh_era5_r001_c013,1,13,30.75,68.25,False
sindh_era5_r001_c014,1,14,30.75,68.5,False
sindh_era5_r001_c015,1,15,30.75,68.75,False
sindh_era5_r001_c016,1,16,30.75,69.0,False
sindh_era5_r001_c017,1,17,30.75,69.25,False
sindh_era5_r001_c018,1,18,30.75,69.5,False
sindh_era5_r001_c019,1,19,30.75,69.75,False
sindh_era5_r001_c020,1,20,30.75,70.0,False
sindh_era5_r001_c021,1,21,30.75,70.25,False
sindh_era5_r001_c022,1,22,30.75,70.5,False
sindh_era5_r001_c023,1,23,30.75,70.75,False
sindh_era5_r001_c024,1,24,30.75,71.0,False
sindh_era5_r001_c025,1,25,30.75,71.25,False
sindh_era5_r001_c026,1,26,30.75,71.5,False
sindh_era5_r001_c027,1,27,30.75,71.75,False
sindh_era5_r001_c028,1,28,30.75,72.0,False
sindh_era5_r001_c029,1,29,30.75,72.25,False
sindh_era5_r001_c030,1,30,30.75,72.5,False
sindh_era5_r001_c031,1,31,30.75,72.75,False
sindh_era5_r001_c032,1,32,30.75,73.0,False
sindh_era5_r002_c000,2,0,30.5,65.0,False
sindh_era5_r002_c001,2,1,30.5,65.25,False
sindh_era5_r002_c002,2,2,30.5,65.5,False
sindh_era5_r002_c003,2,3,30.5,65.75,False
sindh_era5_r002_c004,2,4,30.5,66.0,False
sindh_era5_r002_c005,2,5,30.5,66.25,False
sindh_era5_r002_c006,2,6,30.5,66.5,False
sindh_era5_r002_c007,2,7,30.5,66.75,False
sindh_era5_r002_c008,2,8,30.5,67.0,False
sindh_era5_r002_c009,2,9,30.5,67.25,False
sindh_era5_r002_c010,2,10,30.5,67.5,False
sindh_era5_r002_c011,2,11,30.5,67.75,False
sindh_era5_r002_c012,2,12,30.5,68.0,False
sindh_era5_r002_c013,2,13,30.5,68.25,False
sindh_era5_r002_c014,2,14,30.5,68.5,False
sindh_era5_r002_c015,2,15,30.5,68.75,False
sindh_era5_r002_c016,2,16,30.5,69.0,False
sindh_era5_r002_c017,2,17,30.5,69.25,False
sindh_era5_r002_c018,2,18,30.5,69.5,False
sindh_era5_r002_c019,2,19,30.5,69.75,False
sindh_era5_r002_c020,2,20,30.5,70.0,False
sindh_era5_r002_c021,2,21,30.5,70.25,False
sindh_era5_r002_c022,2,22,30.5,70.5,False
sindh_era5_r002_c023,2,23,30.5,70.75,False
sindh_era5_r002_c024,2,24,30.5,71.0,False
sindh_era5_r002_c025,2,25,30.5,71.25,False
sindh_era5_r002_c026,2,26,30.5,71.5,False
sindh_era5_r002_c027,2,27,30.5,71.75,False
sindh_era5_r002_c028,2,28,30.5,72.0,False
sindh_era5_r002_c029,2,29,30.5,72.25,False
sindh_era5_r002_c030,2,30,30.5,72.5,False
sindh_era5_r002_c031,2,31,30.5,72.75,False
sindh_era5_r002_c032,2,32,30.5,73.0,False
sindh_era5_r003_c000,3,0,30.25,65.0,False
sindh_era5_r003_c001,3,1,30.25,65.25,False
sindh_era5_r003_c002,3,2,30.25,65.5,False
sindh_era5_r003_c003,3,3,30.25,65.75,False
sindh_era5_r003_c004,3,4,30.25,66.0,False
sindh_era5_r003_c005,3,5,30.25,66.25,False
sindh_era5_r003_c006,3,6,30.25,66.5,False
sindh_era5_r003_c007,3,7,30.25,66.75,False
sindh_era5_r003_c008,3,8,30.25,67.0,False
sindh_era5_r003_c009,3,9,30.25,67.25,False
sindh_era5_r003_c010,3,10,30.25,67.5,False
sindh_era5_r003_c011,3,11,30.25,67.75,False
sindh_era5_r003_c012,3,12,30.25,68.0,False
sindh_era5_r003_c013,3,13,30.25,68.25,False
sindh_era5_r003_c014,3,14,30.25,68.5,False
sindh_era5_r003_c015,3,15,30.25,68.75,False
sindh_era5_r003_c016,3,16,30.25,69.0,False
sindh_era5_r003_c017,3,17,30.25,69.25,False
sindh_era5_r003_c018,3,18,30.25,69.5,False
sindh_era5_r003_c019,3,19,30.25,69.75,False
sindh_era5_r003_c020,3,20,30.25,70.0,False
sindh_era5_r003_c021,3,21,30.25,70.25,False
sindh_era5_r003_c022,3,22,30.25,70.5,False
sindh_era5_r003_c023,3,23,30.25,70.75,False
sindh_era5_r003_c024,3,24,30.25,71.0,False
sindh_era5_r003_c025,3,25,30.25,71.25,False
sindh_era5_r003_c026,3,26,30.25,71.5,False
sindh_era5_r003_c027,3,27,30.25,71.75,False
sindh_era5_r003_c028,3,28,30.25,72.0,False
sindh_era5_r003_c029,3,29,30.25,72.25,False
sindh_era5_r003_c030,3,30,30.25,72.5,False
sindh_era5_r003_c031,3,31,30.25,72.75,False
sindh_era5_r003_c032,3,32,30.25,73.0,False
sindh_era5_r004_c000,4,0,30.0,65.0,False
sindh_era5_r004_c001,4,1,30.0,65.25,False
