feature,importance
cumulative_monsoon_rainfall,1.976499501112091
era5_swvl1_daily_mean_max,1.971693177999938
era5_t2m_daily_mean_mean,1.8242056085194653
era5_pev_daily_mean_std,1.7736458891943956
era5_v10_daily_mean_max_std_7d,1.6998029719461838
era5_u10_daily_mean_max_std_14d,1.6945176977951724
era5_swvl1_daily_mean_max_soil_moisture_lag_7d,1.6579003094933924
era5_swvl1_daily_mean_max_soil_moisture_lag_3d,1.5917105664269429
is_monsoon,1.5341481881073855
era5_v10_daily_mean_mean_mean_7d,1.4755101599731661
era5_u10_daily_mean_min_mean_14d,1.4540941656282949
era5_v10_daily_mean_max_mean_7d,1.4243824438396286
era5_u10_daily_mean_std_mean_14d,1.4033395713404675
era5_v10_daily_mean_min_mean_7d,1.3767387982984036
era5_swvl2_daily_mean_mean_soil_moisture_lag_1d,1.3589826142418462
era5_v10_daily_mean_max_mean_14d,1.351669220643383
era5_u10_daily_mean_max_mean_14d,1.3320279558366335
era5_swvl2_daily_mean_max,1.2835749647503003
era5_sp_daily_mean_std,1.2813367143206722
era5_v10_daily_mean_mean_mean_14d,1.2008753492160145
era5_e_daily_total_min_trend_7d,1.2007732462145202
glofas_discharge_std,1.1835821367755195
era5_swvl1_daily_mean_std_soil_moisture_lag_3d,1.177619959132078
discharge_mean_30d,1.1766258547319477
era5_sp_daily_mean_max,1.144767882098116
era5_v10_daily_mean_std_mean_7d,1.124632795181624
era5_sro_daily_total_std_runoff_lag_3d,1.1171231019124506
era5_t2m_daily_mean_max,1.1105776520582311
rainfall_total_30d,1.0985230717046055
rainfall_mean_30d,1.0985230717046046
era5_u10_daily_mean_mean,1.095444652396999
day_of_year,1.0944972758310254
era5_swvl1_daily_mean_std_soil_moisture_lag_7d,1.059035515755448
era5_v10_daily_mean_std_std_14d,1.0539428253179912
era5_sp_daily_mean_mean,1.0296121072201596
era5_v10_daily_mean_std,0.9743908348483492
era5_u10_daily_mean_mean_std_14d,0.9712042048477644
era5_e_daily_total_min,0.9694592864362374
era5_v10_daily_mean_min_mean_14d,0.8964560633074677
era5_swvl2_daily_mean_std_soil_moisture_lag_3d,0.8930165162320752
era5_swvl1_daily_mean_mean,0.8777540004282242
era5_sp_daily_mean_max_anomaly,0.8371574299571852
discharge_change_1d,0.8247479115599579
era5_v10_daily_mean_min_std_7d,0.7289504471624838
era5_swvl2_daily_mean_mean,0.7198898673072933
era5_pev_daily_mean_min,0.715561622270337
era5_sp_daily_mean_mean_anomaly,0.7122428080730231
era5_u10_daily_mean_std,0.703440755201719
glofas_discharge_max,0.7012710084325551
glofas_discharge_max_discharge_lag_14d,0.700956107666817
era5_v10_daily_mean_max,0.6878546728428122
era5_sp_daily_mean_std_anomaly,0.6839043190549186
era5_swvl2_daily_mean_mean_soil_moisture_lag_3d,0.6706012888937523
era5_swvl1_daily_mean_max_soil_moisture_lag_1d,0.6573258600006276
discharge_mean_3d,0.6062438446155716
rainfall_anomaly,0.6051350517747405
era5_pev_daily_mean_max,0.6039580303259805
glofas_discharge_max_discharge_lag_1d,0.6011849328556748
era5_sro_daily_total_max_runoff_lag_3d,0.5822094928608834
era5_sro_daily_total_mean_runoff_lag_3d,0.5814055817221696
glofas_discharge_mean,0.5805521589727988
era5_v10_daily_mean_mean_std_14d,0.5687889425167744
era5_t2m_daily_mean_std,0.566382662760615
era5_swvl2_daily_mean_max_soil_moisture_lag_3d,0.5644007040073074
era5_u10_daily_mean_max_mean_7d,0.5284241011557906
era5_t2m_daily_mean_min,0.5259700210041097
discharge_mean_14d,0.5252085882996083
glofas_discharge_max_discharge_lag_2d,0.5085790158764141
era5_v10_daily_mean_mean_std_7d,0.5046230296411767
era5_v10_daily_mean_std_std_7d,0.4963713374268432
era5_swvl2_daily_mean_std_soil_moisture_lag_1d,0.4952503349741497
era5_e_daily_total_mean_trend_7d,0.47887904397325964
discharge_mean_7d,0.4783770488014221
era5_swvl1_daily_mean_mean_soil_moisture_lag_7d,0.4649012373323376
era5_swvl1_daily_mean_min_soil_moisture_lag_7d,0.4590193041419759
rainfall_mean_7d,0.4396379705955485
rainfall_total_7d,0.4396379705955485
era5_u10_daily_mean_min_std_7d,0.43249909590897045
era5_sro_daily_total_mean,0.4186671088338263
era5_swvl1_daily_mean_min_soil_moisture_lag_3d,0.39722604466263894
era5_v10_daily_mean_min,0.39528035116493515
era5_v10_daily_mean_std_mean_14d,0.3849235803606781
era5_u10_daily_mean_min_mean_7d,0.37878704298930044
era5_sro_daily_total_mean_runoff_lag_7d,0.3754239760567219
era5_swvl2_daily_mean_mean_soil_moisture_lag_7d,0.3753737140850027
era5_sp_daily_mean_min,0.36531753736977535
glofas_discharge_max_discharge_lag_7d,0.3262923356378488
era5_sp_daily_mean_min_anomaly,0.32438220392924866
era5_swvl2_daily_mean_max_soil_moisture_lag_1d,0.30115885066923354
era5_v10_daily_mean_mean,0.2940612768389347
era5_u10_daily_mean_std_mean_7d,0.28854773798319605
era5_u10_daily_mean_mean_std_7d,0.2811507595921054
era5_u10_daily_mean_std_std_7d,0.27707219777912134
era5_u10_daily_mean_max_std_7d,0.2508382245279642
era5_swvl1_daily_mean_std_soil_moisture_lag_1d,0.2506357849126907
era5_e_daily_total_max,0.25060829947277025
era5_swvl1_daily_mean_min_soil_moisture_lag_1d,0.23383170644901172
era5_sro_daily_total_std_runoff_lag_7d,0.2227480268585719
era5_tp_daily_total_std,0.2212222198647104
era5_u10_daily_mean_mean_mean_14d,0.21783995549460927
era5_swvl2_daily_mean_std_soil_moisture_lag_7d,0.21776219053192986
era5_swvl1_daily_mean_mean_soil_moisture_lag_1d,0.2145577861934162
era5_swvl2_daily_mean_std,0.21126415754299246
era5_e_daily_total_mean,0.20189062722225232
era5_e_daily_total_std,0.20184875865777122
era5_swvl1_daily_mean_min,0.1981199445072224
rainfall_mean_14d,0.1903982024654801
rainfall_total_14d,0.19039820246547945
era5_sro_daily_total_std,0.1842923813429209
era5_sro_daily_total_std_runoff_lag_1d,0.18038054874415532
era5_v10_daily_mean_min_std_14d,0.16729765253840928
era5_v10_daily_mean_max_std_14d,0.1659350511762081
era5_sro_daily_total_mean_runoff_lag_1d,0.16563532286416138
era5_u10_daily_mean_min,0.16522499007899338
era5_e_daily_total_std_trend_7d,0.1637675026923064
era5_sro_daily_total_max,0.15791690297430555
rainfall_mean_3d,0.13918117079811498
rainfall_total_3d,0.13918117079811013
era5_swvl2_daily_mean_min,0.12462796441501182
era5_u10_daily_mean_mean_mean_7d,0.1226243046745853
era5_u10_daily_mean_max,0.1101725310561723
era5_swvl2_daily_mean_min_soil_moisture_lag_7d,0.10731009423284861
era5_e_daily_total_max_trend_7d,0.10095944836819598
era5_pev_daily_mean_mean,0.10078140756145554
era5_u10_daily_mean_std_std_14d,0.0973310757072655
era5_swvl1_daily_mean_mean_soil_moisture_lag_3d,0.09397187708240762
era5_swvl2_daily_mean_min_soil_moisture_lag_1d,0.09072111500196704
era5_tp_daily_total_max,0.06967422973597712
discharge_acceleration_1d,0.06759673069602046
era5_swvl2_daily_mean_min_soil_moisture_lag_3d,0.06470607144243583
era5_swvl1_daily_mean_std,0.0607933743470162
era5_sro_daily_total_max_runoff_lag_1d,0.059966645926863585
era5_swvl2_daily_mean_max_soil_moisture_lag_7d,0.033013767685255144
glofas_discharge_max_discharge_lag_3d,0.019016855781409162
month,0.0187371389661652
era5_sro_daily_total_max_runoff_lag_7d,0.017284200530730955
era5_tp_daily_total_mean,0.016735641022857836
rainfall_intensity,0.016735641022857836
era5_u10_daily_mean_min_std_14d,0.011472028312209705
era5_tp_daily_total_min,0.008232431107481368
terrain_slope_max,2.787732298399999e-13
terrain_elevation_std,1.7423326864999993e-14
terrain_slope_std,1.7423326864999993e-14
terrain_elevation_mean,8.711663432499997e-15
terrain_slope_mean,8.711663432499997e-15
era5_sro_daily_total_min_runoff_lag_7d,0.0
era5_sro_daily_total_min_runoff_lag_3d,0.0
era5_sro_daily_total_min_runoff_lag_1d,0.0
glofas_discharge_min,0.0
era5_sro_daily_total_min,0.0
terrain_elevation_min,0.0
terrain_elevation_max,0.0
terrain_local_relief_p95_p05,0.0
