feature,importance
discharge_mean_3d,0.053166852389808145
glofas_discharge_max,0.05134348160731024
glofas_discharge_std,0.0502953892616277
glofas_discharge_max_discharge_lag_1d,0.046985566383896005
era5_sp_daily_mean_mean,0.038459888249793114
rainfall_total_14d,0.03535048999976359
era5_sp_daily_mean_max,0.034624862882554175
rainfall_mean_14d,0.034034497983695476
is_monsoon,0.03307409950647688
glofas_discharge_mean,0.032933592015163764
glofas_discharge_max_discharge_lag_2d,0.03140154004225497
discharge_mean_7d,0.031266820757199096
glofas_discharge_max_discharge_lag_3d,0.028871572973775572
rainfall_mean_30d,0.027580470599313175
rainfall_total_30d,0.024936052654519165
rainfall_mean_7d,0.021643396951639648
rainfall_total_7d,0.015751681890438154
era5_swvl1_daily_mean_std,0.01429474019588953
discharge_mean_14d,0.012456914420921996
day_of_year,0.011462318429918506
era5_t2m_daily_mean_min,0.010815381439454867
era5_swvl2_daily_mean_max,0.010569923477136587
era5_swvl2_daily_mean_max_soil_moisture_lag_1d,0.01047500260062084
era5_swvl1_daily_mean_max,0.010033869390742271
era5_tp_daily_total_mean,0.009943145261209483
era5_sp_daily_mean_min,0.009921560744514711
discharge_mean_30d,0.009625839884206051
cumulative_monsoon_rainfall,0.00947815091753558
glofas_discharge_max_discharge_lag_7d,0.008520382350660712
era5_t2m_daily_mean_std,0.008368517502217029
era5_swvl1_daily_mean_std_soil_moisture_lag_1d,0.008292139066482835
era5_v10_daily_mean_max_mean_14d,0.00822922575146502
era5_swvl2_daily_mean_mean_soil_moisture_lag_7d,0.008183540974409743
era5_v10_daily_mean_min_mean_14d,0.008155701959761954
era5_swvl1_daily_mean_max_soil_moisture_lag_1d,0.007737763483937143
era5_swvl1_daily_mean_std_soil_moisture_lag_3d,0.0071636207149265866
discharge_change_1d,0.006955150372792554
era5_v10_daily_mean_mean_mean_14d,0.006646461504558919
rainfall_total_3d,0.006088388001905892
era5_u10_daily_mean_std_mean_14d,0.005725816586010892
rainfall_intensity,0.0056607860248983335
glofas_discharge_max_discharge_lag_14d,0.005466497747229627
era5_u10_daily_mean_min_mean_14d,0.005171577173405021
