feature,importance
glofas_discharge_max,0.11572047
glofas_discharge_max_discharge_lag_1d,0.11192556
glofas_discharge_max_discharge_lag_2d,0.05274295
era5_swvl1_daily_mean_max_soil_moisture_lag_1d,0.04740932
era5_tp_daily_total_mean,0.045518976
rainfall_total_14d,0.03245138
rainfall_mean_30d,0.032079525
era5_u10_daily_mean_min_mean_7d,0.03163663
era5_sro_daily_total_max_runoff_lag_1d,0.028233916
rainfall_total_30d,0.025674326
era5_u10_daily_mean_mean_mean_14d,0.024293272
rainfall_mean_7d,0.024030674
glofas_discharge_std,0.023727152
era5_sp_daily_mean_max,0.019504484
era5_sro_daily_total_mean,0.016669415
glofas_discharge_max_discharge_lag_3d,0.016620517
era5_u10_daily_mean_mean,0.015389284
era5_sro_daily_total_max,0.014350141
rainfall_mean_14d,0.013836731
era5_u10_daily_mean_min_std_14d,0.013410719
glofas_discharge_mean,0.0120438095
era5_sp_daily_mean_mean,0.0118875485
era5_u10_daily_mean_min,0.010684486
era5_v10_daily_mean_mean,0.009416667
era5_u10_daily_mean_std_mean_7d,0.009304227
era5_u10_daily_mean_min_mean_14d,0.008255141
era5_u10_daily_mean_max,0.0073261703
era5_v10_daily_mean_std_mean_14d,0.006628932
era5_u10_daily_mean_max_std_14d,0.0063024233
era5_sro_daily_total_std_runoff_lag_7d,0.0061923824
era5_v10_daily_mean_max_mean_7d,0.0059737265
era5_swvl2_daily_mean_std,0.0058261566
era5_swvl2_daily_mean_mean_soil_moisture_lag_7d,0.005825065
era5_swvl2_daily_mean_mean_soil_moisture_lag_1d,0.0056799627
era5_u10_daily_mean_std_std_14d,0.0056733047
cumulative_monsoon_rainfall,0.0053207455
era5_pev_daily_mean_max,0.005010013
rainfall_anomaly,0.004961155
era5_v10_daily_mean_std,0.004870487
era5_sp_daily_mean_max_anomaly,0.004596605
discharge_change_1d,0.0044879364
era5_v10_daily_mean_max,0.0043910863
glofas_discharge_max_discharge_lag_14d,0.0043546176
discharge_mean_30d,0.004179875
era5_e_daily_total_mean,0.0041415184
era5_sro_daily_total_std_runoff_lag_1d,0.004123904
era5_v10_daily_mean_mean_mean_7d,0.0040550753
day_of_year,0.0039376398
era5_u10_daily_mean_std_mean_14d,0.0038160265
era5_e_daily_total_std_trend_7d,0.0037230211
era5_v10_daily_mean_min_mean_7d,0.0037182376
era5_swvl2_daily_mean_mean,0.0036541661
era5_sro_daily_total_max_runoff_lag_3d,0.0035201933
era5_swvl2_daily_mean_mean_soil_moisture_lag_3d,0.0032080077
era5_u10_daily_mean_mean_std_14d,0.0031739348
era5_swvl2_daily_mean_std_soil_moisture_lag_7d,0.0031689326
era5_swvl1_daily_mean_max,0.0030022026
era5_v10_daily_mean_mean_std_14d,0.0029859361
era5_v10_daily_mean_max_std_7d,0.00296164
era5_v10_daily_mean_max_std_14d,0.002940796
era5_swvl1_daily_mean_std_soil_moisture_lag_1d,0.0029204807
rainfall_total_7d,0.0026106923
era5_swvl1_daily_mean_mean,0.0026060436
era5_v10_daily_mean_min_std_14d,0.0025579818
era5_swvl1_daily_mean_max_soil_moisture_lag_7d,0.0024645948
era5_u10_daily_mean_mean_mean_7d,0.0024633098
discharge_mean_14d,0.0024569726
era5_sro_daily_total_mean_runoff_lag_1d,0.0024075445
discharge_acceleration_1d,0.002398484
era5_sp_daily_mean_mean_anomaly,0.0023222712
era5_t2m_daily_mean_std,0.0022835087
era5_v10_daily_mean_std_mean_7d,0.002146157
era5_v10_daily_mean_min_mean_14d,0.0020733324
glofas_discharge_max_discharge_lag_7d,0.0019984692
era5_sro_daily_total_std,0.0019651596
era5_swvl2_daily_mean_max_soil_moisture_lag_7d,0.0018521041
era5_v10_daily_mean_mean_std_7d,0.0018256844
era5_sp_daily_mean_std,0.0017515044
era5_u10_daily_mean_mean_std_7d,0.001604262
era5_e_daily_total_max,0.0015579506
era5_v10_daily_mean_min_std_7d,0.0014928783
era5_e_daily_total_min_trend_7d,0.0014661922
era5_swvl2_daily_mean_min_soil_moisture_lag_3d,0.0012983904
era5_t2m_daily_mean_mean,0.0012495454
era5_v10_daily_mean_std_std_14d,0.0012340791
era5_swvl2_daily_mean_max_soil_moisture_lag_3d,0.0012204023
era5_v10_daily_mean_mean_mean_14d,0.0012156753
era5_v10_daily_mean_std_std_7d,0.0011749978
era5_sro_daily_total_mean_runoff_lag_3d,0.0011418263
era5_e_daily_total_mean_trend_7d,0.0011405284
era5_tp_daily_total_max,0.0011305083
era5_sro_daily_total_mean_runoff_lag_7d,0.0011275726
era5_sro_daily_total_max_runoff_lag_7d,0.0011025129
era5_swvl1_daily_mean_min_soil_moisture_lag_3d,0.0010651259
rainfall_total_3d,0.0010168576
era5_swvl1_daily_mean_mean_soil_moisture_lag_7d,0.0010070101
era5_swvl1_daily_mean_std,0.0010068207
era5_swvl1_daily_mean_min,0.0009614807
discharge_mean_7d,0.00093776506
era5_u10_daily_mean_max_mean_14d,0.0009179607
era5_u10_daily_mean_max_std_7d,0.0007467311
era5_u10_daily_mean_min_std_7d,0.00073988625
era5_sp_daily_mean_std_anomaly,0.0006682832
era5_u10_daily_mean_std_std_7d,0.0006632301
era5_swvl2_daily_mean_min_soil_moisture_lag_7d,0.00065554713
era5_swvl2_daily_mean_min,0.0006430407
era5_e_daily_total_min,0.00063629483
era5_v10_daily_mean_min,0.0006240051
era5_swvl1_daily_mean_std_soil_moisture_lag_7d,0.0006231808
era5_t2m_daily_mean_min,0.0006099639
era5_e_daily_total_max_trend_7d,0.0005994215
era5_u10_daily_mean_max_mean_7d,0.0005941463
era5_swvl1_daily_mean_max_soil_moisture_lag_3d,0.00053395587
era5_pev_daily_mean_min,0.00053286
era5_swvl2_daily_mean_max,0.00048044577
era5_swvl1_daily_mean_min_soil_moisture_lag_7d,0.00043518873
era5_u10_daily_mean_std,0.00042652118
era5_swvl2_daily_mean_std_soil_moisture_lag_1d,0.0003996648
era5_swvl2_daily_mean_std_soil_moisture_lag_3d,0.00039153092
era5_swvl1_daily_mean_std_soil_moisture_lag_3d,0.00025095348
era5_swvl2_daily_mean_max_soil_moisture_lag_1d,0.0002373747
era5_pev_daily_mean_std,0.0002358244
era5_e_daily_total_std,0.00017270233
era5_swvl2_daily_mean_min_soil_moisture_lag_1d,0.00017168027
era5_sp_daily_mean_min_anomaly,0.000122026264
era5_swvl1_daily_mean_min_soil_moisture_lag_1d,4.9391874e-05
era5_sp_daily_mean_min,3.2308693e-05
terrain_slope_max,0.0
terrain_slope_std,0.0
terrain_elevation_min,0.0
is_monsoon,0.0
terrain_elevation_max,0.0
terrain_slope_mean,0.0
terrain_elevation_std,0.0
terrain_elevation_mean,0.0
era5_tp_daily_total_min,0.0
era5_tp_daily_total_std,0.0
month,0.0
era5_swvl1_daily_mean_mean_soil_moisture_lag_3d,0.0
glofas_discharge_min,0.0
era5_sro_daily_total_min,0.0
era5_swvl1_daily_mean_mean_soil_moisture_lag_1d,0.0
era5_sro_daily_total_min_runoff_lag_7d,0.0
era5_v10_daily_mean_max_mean_14d,0.0
era5_sro_daily_total_std_runoff_lag_3d,0.0
era5_sro_daily_total_min_runoff_lag_3d,0.0
era5_sro_daily_total_min_runoff_lag_1d,0.0
rainfall_intensity,0.0
era5_pev_daily_mean_mean,0.0
discharge_mean_3d,0.0
rainfall_mean_3d,0.0
era5_t2m_daily_mean_max,0.0
terrain_local_relief_p95_p05,0.0
