feature,importance
era5_e_daily_total_min,2.597835630642972
era5_sp_daily_mean_max,2.3791436704336806
era5_v10_daily_mean_min_mean_14d,2.3553161100038187
era5_v10_daily_mean_max_mean_14d,2.3178055730093416
era5_v10_daily_mean_mean_mean_7d,2.1881499137649953
era5_e_daily_total_std,2.15134195977142
era5_sp_daily_mean_mean_anomaly,2.1213166459531347
era5_u10_daily_mean_min_mean_7d,1.955012867082224
era5_t2m_daily_mean_min,1.7418914081314443
era5_pev_daily_mean_max,1.7216417914723356
era5_u10_daily_mean_std_mean_14d,1.5476203121503727
era5_u10_daily_mean_min_mean_14d,1.4235700319250233
era5_v10_daily_mean_max_std_14d,1.3871293093246153
era5_v10_daily_mean_mean_mean_14d,1.3870519900471379
era5_u10_daily_mean_mean_mean_14d,1.3619563165020048
era5_v10_daily_mean_std_std_14d,1.3311035205221187
era5_v10_daily_mean_max,1.2667111308910788
cumulative_monsoon_rainfall,1.2534133915372483
era5_pev_daily_mean_std,1.2287896430873018
era5_v10_daily_mean_std_mean_7d,1.1802213121967533
era5_v10_daily_mean_mean,1.1760611782806387
era5_u10_daily_mean_mean_std_14d,1.170799206276535
era5_tp_daily_total_min,1.0966245501733036
era5_u10_daily_mean_std_std_14d,1.005663422598933
era5_sp_daily_mean_mean,0.999063285591679
rainfall_mean_30d,0.9176636124003004
rainfall_total_30d,0.9176636124002948
era5_u10_daily_mean_max_mean_7d,0.9115006204666377
era5_sp_daily_mean_min,0.8878905480228715
era5_t2m_daily_mean_mean,0.8434943430319364
era5_u10_daily_mean_max_mean_14d,0.8215471835422216
rainfall_mean_7d,0.7895322833367322
rainfall_total_7d,0.7895322833367227
era5_e_daily_total_min_trend_7d,0.7770191280404654
rainfall_mean_14d,0.7180034275700456
rainfall_total_14d,0.7180034275700434
era5_u10_daily_mean_min,0.7133322738237532
era5_v10_daily_mean_max_mean_7d,0.6663315643828962
era5_u10_daily_mean_std,0.6541262638872005
era5_e_daily_total_std_trend_7d,0.623995234110754
rainfall_anomaly,0.6196681957215292
era5_pev_daily_mean_mean,0.5608795704227506
era5_sp_daily_mean_min_anomaly,0.5600660913985583
era5_t2m_daily_mean_max,0.5578669565167015
era5_u10_daily_mean_mean_mean_7d,0.5357973161743131
era5_u10_daily_mean_std_mean_7d,0.5357339927388544
is_monsoon,0.5087894649478706
era5_v10_daily_mean_mean_std_7d,0.5034591145971833
era5_t2m_daily_mean_std,0.47804040783941615
rainfall_intensity,0.46735874766033164
era5_tp_daily_total_mean,0.46735874766033164
era5_u10_daily_mean_mean,0.4594223219278349
era5_v10_daily_mean_min,0.45730293019283785
era5_e_daily_total_max,0.415873876290162
era5_sp_daily_mean_std,0.415539303666499
era5_v10_daily_mean_std_std_7d,0.4012429552228674
era5_u10_daily_mean_min_std_14d,0.4002551626345738
era5_tp_daily_total_max,0.3841890010282547
month,0.2771743896770367
era5_sp_daily_mean_std_anomaly,0.27596573728157076
era5_v10_daily_mean_max_std_7d,0.2486554562053134
era5_tp_daily_total_std,0.23305135819394254
era5_e_daily_total_max_trend_7d,0.2267368067916297
era5_e_daily_total_mean,0.2080346204752649
era5_v10_daily_mean_min_mean_7d,0.1985844655416524
day_of_year,0.17584950101585192
era5_u10_daily_mean_max_std_14d,0.17177522027466757
era5_e_daily_total_mean_trend_7d,0.15661047546673798
era5_v10_daily_mean_mean_std_14d,0.15579827529088738
era5_v10_daily_mean_min_std_14d,0.15154164192454284
era5_u10_daily_mean_max_std_7d,0.1321823816316477
era5_v10_daily_mean_min_std_7d,0.12082409237724225
era5_u10_daily_mean_min_std_7d,0.11521488490332946
era5_v10_daily_mean_std,0.10093525337440011
era5_v10_daily_mean_std_mean_14d,0.09682333288243636
era5_sp_daily_mean_max_anomaly,0.0733999044050668
era5_pev_daily_mean_min,0.06814527021200965
era5_u10_daily_mean_mean_std_7d,0.06007332995680739
era5_u10_daily_mean_max,0.05637134506776162
rainfall_mean_3d,0.03318993657855227
rainfall_total_3d,0.033189936578550676
era5_u10_daily_mean_std_std_7d,0.03175278490747207
terrain_slope_max,3.678035940043583e-13
terrain_elevation_std,2.2987724625272394e-14
terrain_slope_std,2.2987724625272394e-14
terrain_elevation_mean,1.1493862312636197e-14
terrain_slope_mean,1.1493862312636197e-14
terrain_elevation_min,0.0
terrain_elevation_max,0.0
terrain_local_relief_p95_p05,0.0
