feature,importance
rainfall_total_30d,0.09362381403622048
rainfall_mean_30d,0.0926978149508668
rainfall_total_14d,0.08116739172096621
rainfall_mean_14d,0.07248672299532136
era5_t2m_daily_mean_std,0.046929020600460974
rainfall_total_7d,0.04348905179644468
era5_sp_daily_mean_mean,0.036608611438471134
era5_sp_daily_mean_max,0.034378209702587315
is_monsoon,0.03407561648883265
rainfall_mean_7d,0.031511497907165655
era5_t2m_daily_mean_min,0.028642300889319062
era5_e_daily_total_mean,0.028418792941256234
era5_v10_daily_mean_max_mean_14d,0.024647016338559685
cumulative_monsoon_rainfall,0.022750230285969113
day_of_year,0.021376108517365863
era5_v10_daily_mean_min_mean_14d,0.020500517737751592
month,0.01588706879831975
rainfall_total_3d,0.01582661524232854
era5_tp_daily_total_mean,0.015597010376352353
rainfall_intensity,0.014255299736685614
era5_v10_daily_mean_mean_mean_14d,0.01096601547815814
rainfall_mean_3d,0.009915056300741857
era5_t2m_daily_mean_max,0.009604006825668709
era5_v10_daily_mean_min_mean_7d,0.009266820261743957
era5_v10_daily_mean_max_mean_7d,0.008698167519720565
era5_sp_daily_mean_min,0.008173639459205595
era5_u10_daily_mean_max_std_14d,0.008012354093057722
era5_t2m_daily_mean_mean,0.0074597709142004386
era5_u10_daily_mean_max_mean_14d,0.00709986655794072
era5_v10_daily_mean_std_mean_14d,0.006758396051443661
era5_u10_daily_mean_std_std_14d,0.006688274252320487
era5_v10_daily_mean_mean_mean_7d,0.005903164081623304
era5_u10_daily_mean_max_mean_7d,0.005553805046645734
era5_pev_daily_mean_min,0.005178566263833526
era5_u10_daily_mean_mean_std_14d,0.005062536692298944
era5_pev_daily_mean_std,0.004902017984846087
era5_v10_daily_mean_min_std_14d,0.004609546689584289
era5_v10_daily_mean_std_mean_7d,0.004450572511819943
era5_v10_daily_mean_std_std_14d,0.004265210940285896
era5_u10_daily_mean_max_std_7d,0.004231156946861285
era5_u10_daily_mean_std_mean_14d,0.00417165908399218
era5_v10_daily_mean_mean,0.0036217948144852312
era5_u10_daily_mean_min_mean_14d,0.0036183065646270716
era5_pev_daily_mean_mean,0.00358080193272548
era5_u10_daily_mean_mean,0.003455410780900462
era5_u10_daily_mean_min_std_14d,0.0033304868611541156
era5_tp_daily_total_std,0.0031475483132283708
era5_u10_daily_mean_mean_mean_7d,0.0030760163804443544
era5_v10_daily_mean_mean_std_14d,0.0030194025125975356
era5_u10_daily_mean_mean_mean_14d,0.0029240464347845122
era5_sp_daily_mean_std_anomaly,0.0029010523107720473
era5_sp_daily_mean_std,0.0028730068805510284
era5_u10_daily_mean_std_std_7d,0.0026821361564863914
era5_v10_daily_mean_std_std_7d,0.0026315724701833788
era5_v10_daily_mean_max_std_14d,0.002594980477179446
era5_u10_daily_mean_mean_std_7d,0.002522215454132318
era5_u10_daily_mean_std_mean_7d,0.0024927745807823156
era5_v10_daily_mean_max_std_7d,0.0024643032096311607
era5_v10_daily_mean_min,0.0022896969951371484
era5_e_daily_total_max,0.0022739596695811708
rainfall_anomaly,0.0022566276303527
era5_e_daily_total_min,0.0020766557090224525
era5_u10_daily_mean_max,0.0020496512114004024
era5_e_daily_total_mean_trend_7d,0.001968202921532682
era5_v10_daily_mean_mean_std_7d,0.0019281113431154778
era5_u10_daily_mean_min_mean_7d,0.001649719534421044
era5_v10_daily_mean_max,0.001647341156114728
era5_sp_daily_mean_max_anomaly,0.0015769567556057956
era5_u10_daily_mean_std,0.0014307214068811117
era5_tp_daily_total_max,0.0013940931902772158
era5_u10_daily_mean_min_std_7d,0.0013279849225122202
era5_sp_daily_mean_min_anomaly,0.0012053735054494666
era5_v10_daily_mean_min_std_7d,0.0011539336599159942
era5_e_daily_total_std,0.00101320476606332
era5_e_daily_total_min_trend_7d,0.0009775521112408406
era5_e_daily_total_max_trend_7d,0.0009617729893993703
era5_e_daily_total_std_trend_7d,0.0009489285421479896
era5_sp_daily_mean_mean_anomaly,0.0009060283185239309
era5_v10_daily_mean_std,0.0008836736049469509
era5_u10_daily_mean_min,0.0008699356058144774
era5_pev_daily_mean_max,0.00042124980932807917
era5_tp_daily_total_min,1.3452049312117238e-05
terrain_elevation_mean,0.0
terrain_elevation_min,0.0
terrain_elevation_max,0.0
terrain_elevation_std,0.0
terrain_slope_mean,0.0
terrain_slope_max,0.0
terrain_slope_std,0.0
terrain_local_relief_p95_p05,0.0
