feature,importance
rainfall_total_14d,0.18678747
rainfall_total_30d,0.07997104
era5_sp_daily_mean_mean,0.0799199
rainfall_mean_14d,0.07882969
rainfall_mean_30d,0.06859797
era5_sp_daily_mean_max,0.030906012
era5_sp_daily_mean_min,0.028597694
era5_v10_daily_mean_mean_mean_14d,0.020033278
era5_v10_daily_mean_max_mean_14d,0.016062835
era5_tp_daily_total_min,0.015691739
day_of_year,0.015334515
era5_u10_daily_mean_std_std_14d,0.013888415
era5_v10_daily_mean_std_mean_14d,0.013268454
era5_u10_daily_mean_max_std_14d,0.012190314
era5_u10_daily_mean_std_mean_7d,0.012094586
era5_u10_daily_mean_mean_std_14d,0.01202238
era5_u10_daily_mean_min_std_14d,0.011009607
era5_u10_daily_mean_min_mean_14d,0.010693096
era5_u10_daily_mean_std_mean_14d,0.010472377
rainfall_total_7d,0.010275303
era5_v10_daily_mean_max_std_14d,0.009475905
cumulative_monsoon_rainfall,0.009120823
era5_v10_daily_mean_mean_std_14d,0.008695175
rainfall_total_3d,0.00853941
era5_v10_daily_mean_mean_mean_7d,0.007929779
era5_u10_daily_mean_std_std_7d,0.0074307085
rainfall_intensity,0.007206439
era5_pev_daily_mean_max,0.0069017247
era5_v10_daily_mean_max_mean_7d,0.00677436
era5_tp_daily_total_max,0.006721813
era5_v10_daily_mean_std_std_7d,0.0066988287
era5_t2m_daily_mean_max,0.006546056
era5_u10_daily_mean_mean_mean_7d,0.0064461417
era5_v10_daily_mean_min_mean_14d,0.006219694
era5_u10_daily_mean_max_mean_14d,0.0061101895
era5_u10_daily_mean_max_std_7d,0.0060211597
era5_u10_daily_mean_max_mean_7d,0.0059754457
era5_u10_daily_mean_min_mean_7d,0.005529622
era5_tp_daily_total_mean,0.005519378
era5_t2m_daily_mean_std,0.0055039264
era5_v10_daily_mean_std_mean_7d,0.005320281
era5_u10_daily_mean_mean_mean_14d,0.0051079155
era5_v10_daily_mean_mean_std_7d,0.005040793
era5_v10_daily_mean_max_std_7d,0.005025554
era5_v10_daily_mean_min_mean_7d,0.004917118
rainfall_anomaly,0.004584111
era5_v10_daily_mean_min_std_14d,0.004545348
era5_u10_daily_mean_mean_std_7d,0.0045181573
era5_e_daily_total_mean,0.004397866
era5_sp_daily_mean_min_anomaly,0.0043932386
era5_tp_daily_total_std,0.004378072
era5_v10_daily_mean_min_std_7d,0.0043652654
month,0.00432432
era5_pev_daily_mean_min,0.0042228727
rainfall_mean_3d,0.0042132614
era5_v10_daily_mean_std_std_14d,0.0041706716
era5_v10_daily_mean_mean,0.0041324077
era5_v10_daily_mean_min,0.0037457247
era5_sp_daily_mean_max_anomaly,0.003324069
rainfall_mean_7d,0.0032421225
era5_sp_daily_mean_std,0.0031848978
era5_u10_daily_mean_min_std_7d,0.003094565
era5_e_daily_total_max,0.0030859606
era5_e_daily_total_std_trend_7d,0.00302766
era5_u10_daily_mean_mean,0.003027212
era5_t2m_daily_mean_min,0.0027591863
era5_pev_daily_mean_mean,0.002748224
era5_e_daily_total_min,0.0024568746
era5_sp_daily_mean_std_anomaly,0.0024116966
era5_e_daily_total_mean_trend_7d,0.0022711926
era5_u10_daily_mean_std,0.002207204
era5_t2m_daily_mean_mean,0.0021405057
era5_sp_daily_mean_mean_anomaly,0.0020691918
era5_e_daily_total_min_trend_7d,0.00203457
era5_v10_daily_mean_max,0.0019758358
era5_pev_daily_mean_std,0.0018386618
era5_e_daily_total_max_trend_7d,0.0017585256
era5_v10_daily_mean_std,0.0016593637
era5_u10_daily_mean_min,0.0012518881
era5_u10_daily_mean_max,0.0010144113
is_monsoon,0.0
era5_e_daily_total_std,0.0
terrain_elevation_mean,0.0
terrain_elevation_min,0.0
terrain_elevation_max,0.0
terrain_elevation_std,0.0
terrain_slope_mean,0.0
terrain_slope_max,0.0
terrain_slope_std,0.0
terrain_local_relief_p95_p05,0.0
