feature,importance
glofas_discharge_std,0.08390719314389977
glofas_discharge_max,0.08153847993727459
discharge_mean_3d,0.08126663424453012
glofas_discharge_mean,0.07714470630318283
glofas_discharge_max_discharge_lag_1d,0.062399505079427736
discharge_mean_7d,0.054799685884329506
glofas_discharge_max_discharge_lag_3d,0.05478185243530689
glofas_discharge_max_discharge_lag_2d,0.05044936862804838
discharge_mean_14d,0.0423050945908681
rainfall_mean_30d,0.03224689909035923
glofas_discharge_max_discharge_lag_7d,0.029034257977049945
rainfall_total_30d,0.025987516089607504
rainfall_total_14d,0.020987541649323222
rainfall_mean_14d,0.017005124801674876
discharge_mean_30d,0.016979691463914856
era5_swvl1_daily_mean_std,0.01693680113782514
era5_swvl1_daily_mean_std_soil_moisture_lag_3d,0.012166959895542475
era5_swvl2_daily_mean_std_soil_moisture_lag_1d,0.0102363281013649
era5_swvl2_daily_mean_std,0.010234588448335476
era5_sp_daily_mean_mean,0.010081372624379501
discharge_change_1d,0.009931260935170046
is_monsoon,0.009880242601933884
era5_t2m_daily_mean_std,0.009584259787417813
rainfall_mean_7d,0.008435049044967939
glofas_discharge_max_discharge_lag_14d,0.007999068452060297
era5_swvl2_daily_mean_max,0.006960666116647498
era5_swvl2_daily_mean_max_soil_moisture_lag_1d,0.006604985065452245
era5_swvl1_daily_mean_max,0.006566219717895219
era5_swvl1_daily_mean_std_soil_moisture_lag_1d,0.006330901231446216
era5_sp_daily_mean_max,0.006201353806805986
era5_swvl2_daily_mean_mean,0.0061962933486013035
rainfall_total_7d,0.005195064686362675
discharge_acceleration_1d,0.004288915845410329
era5_e_daily_total_mean,0.003804217203270754
era5_swvl2_daily_mean_mean_soil_moisture_lag_1d,0.003650440455750115
era5_swvl1_daily_mean_std_soil_moisture_lag_7d,0.003528900377120967
era5_sro_daily_total_mean,0.003415224917220796
era5_v10_daily_mean_min_mean_14d,0.0030802187736314094
era5_swvl2_daily_mean_max_soil_moisture_lag_7d,0.003061711586753688
era5_swvl1_daily_mean_mean_soil_moisture_lag_7d,0.0029951794262744725
era5_sro_daily_total_max_runoff_lag_3d,0.00296180111632543
day_of_year,0.002806578761777624
era5_swvl2_daily_mean_mean_soil_moisture_lag_3d,0.002577524173142322
era5_u10_daily_mean_max_mean_14d,0.002414156080002412
era5_u10_daily_mean_min_std_14d,0.002282138093802877
era5_swvl1_daily_mean_max_soil_moisture_lag_1d,0.002232401026910435
era5_swvl2_daily_mean_max_soil_moisture_lag_3d,0.001978571410482692
era5_tp_daily_total_mean,0.0018918814625410302
era5_sro_daily_total_std,0.0017698761433290818
era5_swvl1_daily_mean_max_soil_moisture_lag_3d,0.0017622755585379468
era5_sro_daily_total_max,0.0017520932437352901
era5_sp_daily_mean_min,0.001749292484557702
era5_v10_daily_mean_min_std_14d,0.0017437282739533608
era5_v10_daily_mean_std_mean_7d,0.0017158796988632947
era5_tp_daily_total_std,0.0016670606155832963
cumulative_monsoon_rainfall,0.0016606410907383496
era5_sro_daily_total_std_runoff_lag_3d,0.0016544648665703001
era5_v10_daily_mean_mean_mean_14d,0.0016057152809394652
