dataset_type,horizon,model,accuracy,precision,recall,f1_score,roc_auc
rainfall_only,label_discharge_next_1d_ge_q95,logistic_regression,0.9216901408450704,0.40853658536585363,0.6146788990825688,0.4908424908424908,0.9007015650296817
rainfall_only,label_discharge_next_1d_ge_q95,random_forest,0.9323943661971831,0.2962962962962963,0.07339449541284404,0.11764705882352941,0.9509950769298546
rainfall_only,label_discharge_next_1d_ge_q95,xgboost,0.923943661971831,0.3673469387755102,0.3302752293577982,0.34782608695652173,0.9379660120929105
rainfall_only,label_discharge_next_7d_ge_q95,logistic_regression,0.9295774647887324,0.5927835051546392,0.7142857142857143,0.647887323943662,0.9181117088826802
rainfall_only,label_discharge_next_7d_ge_q95,random_forest,0.9143661971830986,0.5714285714285714,0.2236024844720497,0.32142857142857145,0.9481497302331309
rainfall_only,label_discharge_next_7d_ge_q95,xgboost,0.9143661971830986,0.5348837209302325,0.42857142857142855,0.47586206896551725,0.9465661486834915
rainfall_only,label_discharge_next_14d_ge_q95,logistic_regression,0.9126760563380282,0.6104417670682731,0.7238095238095238,0.6623093681917211,0.9194979461433135
rainfall_only,label_discharge_next_14d_ge_q95,random_forest,0.9008450704225353,0.6847826086956522,0.3,0.41721854304635764,0.9546356306100715
rainfall_only,label_discharge_next_14d_ge_q95,xgboost,0.9109859154929577,0.6428571428571429,0.5571428571428572,0.5969387755102041,0.9558527308687053
hydrology,label_discharge_next_1d_ge_q95,logistic_regression,0.9509859154929577,0.5647058823529412,0.8807339449541285,0.6881720430107527,0.9741180876020135
hydrology,label_discharge_next_1d_ge_q95,random_forest,0.9819718309859155,0.8468468468468469,0.8623853211009175,0.8545454545454545,0.9956000748923421
hydrology,label_discharge_next_1d_ge_q95,xgboost,0.9870422535211267,0.8412698412698413,0.9724770642201835,0.902127659574468,0.9983204290890669
hydrology,label_discharge_next_7d_ge_q95,logistic_regression,0.9323943661971831,0.6062176165803109,0.7267080745341615,0.6610169491525424,0.9417249686362341
hydrology,label_discharge_next_7d_ge_q95,random_forest,0.9577464788732394,0.8208955223880597,0.6832298136645962,0.7457627118644068,0.9692000123146074
hydrology,label_discharge_next_7d_ge_q95,xgboost,0.9385915492957746,0.63,0.782608695652174,0.6980609418282548,0.9763867402464461
hydrology,label_discharge_next_14d_ge_q95,logistic_regression,0.9030985915492957,0.5703703703703704,0.7333333333333333,0.6416666666666667,0.9434078807241747
hydrology,label_discharge_next_14d_ge_q95,random_forest,0.9250704225352113,0.8031496062992126,0.4857142857142857,0.6053412462908012,0.9625954663015366
hydrology,label_discharge_next_14d_ge_q95,xgboost,0.9346478873239437,0.719626168224299,0.7333333333333333,0.7264150943396226,0.9674669100867184
